Sensor 0,Sensor 1,Sensor 2,Sensor 3,Time,,action,Length
6,-1,-2,-1,0.004001617,,0,83
6,-2,-1,-2,0.005029202,,0,83
6,-1,-3,-2,0.006993532,,0,83
6,-1,-2,-1,0.008019924,,0,83
6,-1,-2,-1,0.009017944,,0,83
7,-1,-2,-1,0.0129776,,0,83
8,0,-3,-2,0.013998747,,0,83
8,-1,-3,-1,0.015000582,,0,83
9,0,-2,-1,0.016978741,,0,83
10,-1,-3,-2,0.017992258,,0,83
9,-1,-2,-1,0.017992258,,0,83
9,0,-3,-1,0.018959045,,0,83
10,0,-3,-2,0.019979477,,0,83
10,0,-2,-1,0.02095747,,0,83
11,0,-3,-2,0.021983147,,0,83
11,0,-2,-2,0.021983147,,0,83
10,0,-3,-2,0.022948265,,0,83
12,0,-2,-2,0.023975372,,0,83
11,-1,-3,-2,0.023975372,,0,83
12,0,-2,-1,0.024942875,,0,83
12,1,-2,-1,0.025969505,,0,83
13,0,-3,-1,0.026937723,,0,83
13,0,-3,-2,0.026937723,,0,83
13,1,-3,-1,0.027964592,,0,83
14,0,-3,-1,0.028962612,,0,83
13,0,-3,-1,0.028962612,,0,83
13,-1,-2,-2,0.029958725,,0,83
13,0,-3,-1,0.031924009,,0,83
13,0,-3,-2,0.032921791,,0,83
13,0,-3,-2,0.033947468,,0,83
13,-1,-3,-1,0.03484726,,0,83
14,1,-3,-2,0.03484726,,0,83
13,0,-2,-2,0.035847664,,0,83
12,0,-2,-1,0.035847664,,0,83
12,0,-3,0,0.037431002,,0,83
13,0,-3,-2,0.038090706,,0,83
13,1,-2,-2,0.038757086,,0,83
13,1,-3,-1,0.038757086,,0,83
13,0,-3,-1,0.039756536,,0,83
13,1,-3,-1,0.039756536,,0,83
12,0,-3,-1,0.047123194,,0,83
13,0,-2,-2,0.048202753,,0,83
12,0,-3,-1,0.048873901,,0,83
12,1,-3,-1,0.049534559,,0,83
12,0,-3,-2,0.049534559,,0,83
12,0,-3,-2,0.050534248,,0,83
12,1,-2,-1,0.050534248,,0,83
12,0,-3,-1,0.05153203,,0,83
11,0,-2,-1,0.052528858,,0,83
11,-1,-3,-1,0.052528858,,0,83
11,0,-3,-2,0.053530216,,0,83
11,0,-3,-2,0.05452323,,0,83
10,0,-2,-2,0.05452323,,0,83
