Sensor 0,Sensor 1,Sensor 2,Sensor 3,Time
6,-1,-2,0,0.012310505
6,-2,-3,-1,0.012310505
6,-2,-2,0,0.012310505
7,-2,-2,0,0.022127151
9,-1,-3,-1,0.022127151
9,-1,-3,-1,0.022127151
9,-1,-3,-1,0.022127151
11,0,-2,-1,0.022127151
12,0,-3,-1,0.022127151
12,-1,-3,0,0.022127151
12,-1,-3,0,0.032095909
12,0,-3,0,0.032095909
13,-1,-2,-1,0.032095909
13,-1,-3,-1,0.032095909
12,-1,-2,-1,0.042123795
13,-1,-3,0,0.042123795
12,-2,-3,0,0.042123795
12,0,-3,0,0.042123795
11,-1,-2,-1,0.042123795
10,-1,-2,-1,0.042123795
10,-1,-3,0,0.042123795
9,-1,-3,0,0.042123795
7,-1,-2,-1,0.042123795
7,-2,-3,0,0.042123795
6,0,-2,0,0.042123795
6,-1,-1,0,0.042123795
6,-2,-2,-1,0.000917435
6,-2,-3,-1,0.000917435
8,-2,-2,0,0.01074028
10,-1,-2,0,0.01074028
12,-2,-3,-1,0.01074028
15,-1,-3,-1,0.01074028
18,-1,-3,0,0.01074028
19,-2,-4,0,0.020708323
21,-2,-2,0,0.020708323
23,-1,-3,0,0.020708323
23,-1,-3,-1,0.020708323
23,-1,-3,-1,0.030709505
23,-1,-3,-1,0.030709505
23,0,-3,0,0.030709505
23,-2,-3,-1,0.030709505
22,-2,-3,0,0.030709505
21,-1,-4,-1,0.030709505
18,-1,-3,0,0.030709505
18,-2,-3,0,0.040708542
15,0,-3,-1,0.040708542
14,-1,-3,0,0.040708542
11,-2,-2,-1,0.040708542
9,-2,-2,0,0.040708542
8,-2,-2,-1,0.040708542
6,-1,-2,-1,0.050708294
6,-1,-2,0,0.050708294
6,-1,-2,-1,0.00034523
7,-1,-3,0,0.00034523
10,-2,-2,-1,0.00034523
14,-2,-3,-1,0.00034523
18,-1,-3,0,0.00034523
24,-2,-3,1,0.00034523
29,-2,-3,-1,0.010318041
34,-1,-3,-1,0.010318041
39,-1,-4,0,0.010318041
43,-1,-3,0,0.010318041
47,-1,-3,-1,0.010318041
51,-1,-4,1,0.010318041
52,-1,-4,0,0.010318041
53,-1,-4,-1,0.010318041
55,0,-4,-1,0.020318031
55,-1,-4,0,0.020318031
53,-1,-4,1,0.020318031
51,-1,-4,1,0.020318031
48,0,-4,-1,0.020318031
45,-1,-4,-1,0.020318031
39,-1,-3,0,0.020318031
33,-1,-3,0,0.030317307
27,-2,-3,0,0.030317307
21,-2,-3,-1,0.030317307
12,-2,-2,0,0.030317307
8,-2,-2,0,0.030317307
6,-1,-3,0,0.030317307
6,-2,-2,0,0.009851933
7,-1,-3,0,0.009851933
11,-2,-3,0,0.009851933
14,-1,-3,0,0.009851933
19,-1,-4,0,0.009851933
25,-1,-3,0,0.009851933
29,-1,-4,0,0.009851933
35,0,-3,1,0.019829035
39,0,-4,0,0.019829035
43,0,-4,1,0.019829035
47,-1,-4,0,0.019829035
50,-1,-5,-1,0.019829035
52,0,-4,1,0.019829035
53,0,-4,0,0.019829035
54,0,-4,0,0.029830217
54,0,-4,0,0.029830217
54,0,-5,0,0.029830217
53,1,-5,0,0.029830217
51,0,-4,-1,0.029830217
50,-1,-4,0,0.029830217
48,-1,-4,0,0.029830217
45,0,-4,0,0.029830217
43,1,-4,0,0.039829254
39,-1,-4,0,0.039829254
34,-1,-5,-1,0.039829254
29,0,-4,0,0.039829254
22,-1,-3,1,0.039829254
15,-1,-4,0,0.039829254
10,-2,-3,-1,0.039829254
7,0,-3,0,0.049830198
6,-1,-3,0,0.001331568
8,-1,-3,-1,0.001331568
10,-1,-3,1,0.001331568
14,-1,-4,0,0.001331568
18,-2,-4,0,0.001331568
21,0,-3,1,0.001331568
25,0,-3,0,0.001331568
29,0,-4,-1,0.011341333
32,-1,-4,-1,0.011341333
34,-1,-4,0,0.011341333
37,-1,-4,0,0.011341333
38,-1,-4,0,0.011341333
39,0,-4,0,0.011341333
41,-1,-4,0,0.011341333
40,0,-5,-1,0.011341333
40,-1,-4,-1,0.021332502
38,-1,-4,0,0.021332502
37,-1,-4,0,0.021332502
35,0,-4,1,0.021332502
33,-1,-4,0,0.021332502
31,0,-3,0,0.021332502
28,-1,-4,0,0.031332016
24,-1,-4,-1,0.031332016
19,-1,-4,-1,0.031332016
13,0,-4,0,0.031332016
9,-1,-3,0,0.031332016
6,-2,-2,0,0.031332016
6,-1,-3,0,0.000240564
7,-1,-3,-1,0.000240564
9,-2,-3,-1,0.000240564
12,-2,-3,0,0.000240564
16,0,-3,-1,0.000240564
19,-1,-3,0,0.000240564
23,-1,-4,-1,0.010218143
27,-1,-4,-1,0.010218143
29,0,-4,0,0.010218143
33,-1,-4,-1,0.010218143
36,0,-4,-1,0.010218143
37,-1,-4,0,0.010218143
38,-1,-3,0,0.010218143
38,-1,-4,0,0.010218143
38,-1,-5,-1,0.020218134
36,0,-3,-1,0.020218134
35,-1,-3,0,0.020218134
34,-1,-4,1,0.020218134
32,-1,-3,-1,0.020218134
29,-1,-3,-1,0.020218134
26,-1,-4,0,0.020218134
24,-1,-3,0,0.030216694
20,-1,-3,0,0.030216694
16,0,-4,-1,0.030216694
12,-2,-4,-1,0.030216694
8,-2,-2,0,0.030216694
6,-2,-3,-1,0.010957479
6,-1,-2,-1,0.010957479
7,-1,-2,-1,0.010957479
9,-1,-3,-1,0.020829439
10,-1,-3,-1,0.020829439
12,0,-4,1,0.020829439
15,-1,-4,0,0.020829439
17,0,-3,-1,0.020829439
19,0,-3,0,0.030792475
21,-1,-3,0,0.030792475
22,-1,-4,0,0.030792475
24,-1,-4,-1,0.030792475
25,-1,-4,-1,0.030792475
26,-1,-4,-1,0.040790558
25,0,-3,-1,0.040790558
24,-1,-4,0,0.040790558
23,0,-3,0,0.040790558
20,-1,-4,0,0.040790558
18,-1,-4,0,0.040790558
14,0,-2,0,0.050816059
11,-1,-3,0,0.050816059
9,-2,-4,0,0.050816059
7,-1,-3,-1,0.050816059
7,-1,-3,-1,0.060789824
6,-3,-2,0,0.008081436
7,-1,-2,-1,0.008081436
9,-2,-3,-1,0.008081436
11,-2,-2,0,0.008081436
14,-1,-3,-1,0.008081436
19,-2,-4,1,0.008081436
23,-1,-3,0,0.018086672
28,-1,-4,0,0.018086672
33,-1,-3,0,0.018086672
39,-1,-3,-1,0.018086672
44,-1,-4,0,0.018086672
49,0,-4,1,0.018086672
53,-1,-3,0,0.018086672
56,0,-3,0,0.02805686
58,0,-4,0,0.02805686
60,1,-3,-1,0.02805686
61,0,-4,1,0.02805686
62,0,-4,0,0.02805686
62,-1,-4,0,0.02805686
62,0,-4,0,0.02805686
61,-1,-4,-1,0.038057089
58,0,-3,0,0.038057089
55,-1,-3,0,0.038057089
50,-1,-3,-1,0.038057089
43,-1,-3,-1,0.038057089
36,-1,-3,0,0.038057089
28,0,-3,0,0.038057089
18,-1,-2,0,0.048056602
11,-2,-2,-1,0.048056602
8,-1,-1,-1,0.048056602
6,-1,-2,0,0.048056602
6,-2,-2,-1,0.000805616
6,0,-3,0,0.000805616
7,-2,-3,0,0.000805616
9,-1,-4,0,0.010581732
11,-1,-3,-1,0.010581732
14,-1,-4,-1,0.010581732
16,-1,-3,1,0.010581732
19,-1,-4,-1,0.010581732
22,-2,-3,0,0.010581732
23,0,-3,0,0.020581722
25,-2,-3,0,0.020581722
25,0,-3,-1,0.020581722
