Sensor 0,Sensor 1,Sensor 2,Sensor 3,Time,,action,Length
6,-3,-2,-2,0.027396202,,0,45
6,-3,-2,-1,0.028363943,,0,45
6,-2,-2,-1,0.029362202,,0,45
7,-3,-2,-2,0.030382872,,0,45
7,-2,-3,-1,0.030382872,,0,45
8,-3,-2,-1,0.031358004,,0,45
9,-1,-1,-2,0.032377005,,0,45
10,-2,-2,-2,0.033350706,,0,45
11,-3,-2,-1,0.033350706,,0,45
14,-2,-2,-2,0.034371853,,0,45
17,-2,-2,-2,0.035369158,,0,45
21,-2,-2,-2,0.036344528,,0,45
25,-1,-3,-2,0.036344528,,0,45
29,-1,-3,-2,0.038336754,,0,45
35,-1,-2,-2,0.038336754,,0,45
39,0,-3,-2,0.039334059,,0,45
44,-2,-3,-2,0.040331364,,0,45
49,-1,-3,-2,0.041328669,,0,45
54,-1,-3,-2,0.041328669,,0,45
57,-1,-4,-1,0.042325974,,0,45
62,-1,-3,0,0.043334007,,0,45
66,-2,-3,-2,0.044321299,,0,45
71,-1,-4,-2,0.044321299,,0,45
75,-1,-4,-2,0.045318127,,0,45
81,0,-3,-2,0.046345949,,0,45
87,0,-3,-2,0.052330017,,0,45
92,1,-4,-1,0.053331375,,0,45
96,1,-4,-1,0.054323912,,0,45
101,0,-4,-3,0.054323912,,0,45
105,0,-3,-2,0.055323362,,0,45
107,-1,-3,-2,0.056318998,,0,45
109,0,-4,-2,0.057315826,,0,45
111,2,-4,-2,0.057315826,,0,45
112,2,-4,-1,0.05831337,,0,45
112,2,-4,-2,0.059310675,,0,45
109,2,-4,-2,0.059310675,,0,45
106,2,-3,-2,0.06030798,,0,45
103,2,-4,-2,0.062308311,,0,45
98,1,-3,-2,0.063271284,,0,45
92,2,-4,-2,0.064297676,,0,45
86,2,-4,-2,0.065264702,,0,45
77,2,-3,-2,0.065264702,,0,45
63,1,-3,-2,0.066292286,,0,45
39,2,-3,-2,0.067283869,,0,45
19,1,-3,-2,0.067283869,,0,45
6,1,-3,-2,0.002620697,,0,34
6,1,-3,-2,0.004976988,,0,34
7,2,-3,-2,0.006400347,,0,34
6,1,-4,-1,0.007401705,,0,34
8,2,-3,-1,0.007401705,,0,34
7,1,-2,-1,0.008398533,,0,34
9,2,-3,-1,0.009396076,,0,34
8,1,-4,-2,0.009396076,,0,34
10,1,-3,-2,0.011390924,,0,34
11,2,-4,-2,0.012099266,,0,34
11,2,-4,-1,0.012099266,,0,34
13,1,-4,-2,0.013099194,,0,34
16,2,-3,-1,0.013099194,,0,34
17,1,-4,-1,0.014096737,,0,34
20,2,-4,-1,0.015093565,,0,34
22,1,-4,-2,0.016091824,,0,34
23,2,-5,-2,0.016091824,,0,34
26,1,-3,-2,0.017088413,,0,34
28,2,-4,-2,0.018119097,,0,34
32,2,-4,-2,0.018119097,,0,34
34,2,-4,-2,0.019120216,,0,34
37,2,-4,-2,0.02114749,,0,34
40,2,-5,-2,0.022141457,,0,34
42,2,-5,-2,0.022141457,,0,34
43,2,-5,-2,0.023109436,,0,34
45,2,-4,-2,0.024135113,,0,34
44,2,-3,-1,0.024135113,,0,34
44,2,-4,-2,0.025104046,,0,34
41,2,-4,-1,0.026101351,,0,34
37,2,-4,-2,0.026101351,,0,34
31,1,-4,-1,0.027098656,,0,34
24,1,-4,-2,0.028097153,,0,34
16,1,-4,-2,0.029122591,,0,34
8,1,-4,-2,0.030134916,,0,34
6,1,-2,-2,0.004841805,,0,26
7,1,-3,-2,0.006447077,,0,26
9,1,-3,0,0.007450104,,0,26
12,1,-2,-2,0.008446693,,0,26
15,3,-2,-2,0.009442329,,0,26
19,2,-3,-2,0.010440111,,0,26
23,2,-3,-2,0.01143837,,0,26
27,2,-4,-2,0.012436152,,0,26
31,3,-4,-1,0.013433218,,0,26
