Sensor 0,Sensor 1,Sensor 2,Sensor 3,Time
6,-3,-3,-2,0.006569147
9,-2,-3,-2,0.007537842
15,-1,-2,-2,0.009562731
21,-2,-3,-1,0.011529446
27,-2,-3,-2,0.012553692
32,-2,-2,-2,0.016513348
39,-2,-3,-1,0.01751399
44,-2,-3,-1,0.018508196
49,-2,-3,-2,0.020503283
53,-2,-3,-1,0.022527218
57,-2,-2,-1,0.02555871
61,-2,-2,-1,0.026690722
66,-1,-2,-2,0.026690722
70,-2,-2,-1,0.026690722
73,-2,-3,-1,0.026690722
77,-1,-2,-1,0.026690722
78,-2,-3,-2,0.026690722
81,-1,-3,-2,0.026690722
83,-1,-3,-2,0.026690722
83,-2,-2,-1,0.036692142
83,-1,-2,-2,0.036692142
83,-3,-2,-2,0.036692142
81,-1,-3,-1,0.036692142
79,-1,-3,-1,0.036692142
71,-1,-3,-2,0.046713352
62,-2,-3,-1,0.046713352
47,-2,-3,-2,0.046713352
23,-2,-2,-2,0.046713352
6,-2,-2,-2,0.006808519
11,-2,-2,0,0.006808519
23,-2,-1,-1,0.006808519
41,-2,-2,-2,0.016583204
64,-2,-1,-1,0.016583204
89,-2,-2,-1,0.016583204
113,-1,-2,-1,0.016583204
134,-2,-2,-1,0.016583204
151,-2,-2,-1,0.026582003
165,-2,-2,-2,0.026582003
180,-2,-2,-2,0.026582003
198,-2,-2,-2,0.026582003
220,-2,-2,-2,0.026582003
244,-1,-2,0,0.026582003
260,-2,-2,-2,0.026582003
273,-2,-2,-1,0.036598206
281,-2,-2,-2,0.036598206
287,-2,-2,-2,0.036598206
289,-1,-2,-1,0.036598206
289,-2,-1,-2,0.036598206
285,-2,-2,-1,0.046609163
279,-2,-2,-1,0.046609163
268,-3,-2,-2,0.046609163
253,-1,-2,-1,0.046609163
229,-2,-2,-2,0.046609163
193,-2,-2,-2,0.046609163
143,-2,-2,-1,0.046609163
75,-2,-2,-2,0.046609163
20,-2,-2,-2,0.046609163
6,-2,-2,-1,0.006445169
11,-2,-1,-2,0.006445169
25,-1,-1,-2,0.006445169
47,-2,-2,-1,0.006445169
75,-2,-2,-1,0.006445169
102,-1,-1,-1,0.006445169
130,-2,-1,-1,0.016251564
152,-2,-2,-2,0.016251564
173,-2,-2,-2,0.016251564
192,-2,-2,-1,0.016251564
210,-2,-1,-1,0.016251564
225,-2,-2,-1,0.016251564
240,-2,-1,-2,0.016251564
254,-2,-2,-1,0.016251564
267,-1,-1,-1,0.026219845
279,-1,-2,-2,0.026219845
292,-2,-2,-2,0.026219845
301,-2,-1,-1,0.026219845
309,-2,-2,-1,0.026219845
316,-3,-2,-1,0.026219845
320,-1,-1,-2,0.026219845
321,-2,-1,-2,0.036246061
320,-2,-1,-2,0.036246061
316,-2,-1,-1,0.036246061
308,-2,0,-1,0.036246061
295,-2,-1,-1,0.036246061
277,-1,-1,-1,0.036246061
250,-2,0,-1,0.036246061
208,-2,0,-1,0.036246061
154,-2,0,-1,0.036246061
85,-2,-1,0,0.046220064
13,-2,0,-1,0.046220064
6,-2,-1,-1,0.006732702
9,-2,-1,-2,0.006732702
18,-2,-2,-1,0.006732702
32,-2,-2,-1,0.01652813
50,-2,-2,-1,0.01652813
70,-2,-2,-1,0.01652813
89,-1,-2,-1,0.01652813
109,-2,-2,-1,0.026558876
131,-2,-1,0,0.026558876
152,-2,-1,-2,0.026558876
174,-2,-1,-1,0.026558876
196,-2,-1,-1,0.026558876
216,-2,-1,-2,0.026558876
234,-1,-1,-1,0.026558876
252,-2,-1,-2,0.026558876
270,-2,-1,-2,0.026558876
287,-2,-1,-2,0.036526442
