Sensor 0,Sensor 1,Sensor 2,Sensor 3,Time
6,-2,-2,-2,0.010089397
13,-2,-1,-2,0.010089397
29,-2,-1,-2,0.010089397
53,-2,-1,-2,0.019892931
82,-1,-1,-2,0.019892931
112,-2,-1,-1,0.019892931
140,-2,-1,-2,0.019892931
166,-1,-2,-2,0.019892931
187,-2,-1,-1,0.029890299
209,-2,-1,-2,0.029890299
228,-1,-1,-2,0.029890299
245,-1,-1,-1,0.029890299
263,-1,-1,-2,0.029890299
280,-2,-1,-1,0.029890299
296,-2,-1,-2,0.039890051
311,-2,0,-2,0.039890051
325,-2,-1,-2,0.039890051
338,-1,-1,-2,0.039890051
346,-2,-1,-2,0.039890051
351,-2,-1,-1,0.039890051
352,-2,-1,-1,0.039890051
348,-2,-1,-1,0.049920321
337,-1,-1,-1,0.049920321
320,-2,-1,-2,0.049920321
297,-1,-1,-1,0.049920321
259,-2,-1,-2,0.049920321
209,-2,-1,-2,0.049920321
148,-1,-1,-1,0.049920321
80,-1,-1,-2,0.059892654
22,-1,-2,-2,0.059892654
6,-2,-1,-1,0.007010698
18,-1,-2,-2,0.007010698
45,0,-2,-2,0.007010698
83,-1,-1,-2,0.016870022
129,-1,-1,-1,0.016870022
176,-2,-1,-2,0.016870022
219,-2,-1,-2,0.016870022
256,-2,-1,-2,0.016870022
288,-2,0,-2,0.016870022
318,-3,-2,-2,0.016870022
345,-2,-2,-1,0.026903868
371,-2,-1,-1,0.026903868
395,-1,-1,-1,0.026903868
416,-2,-1,-1,0.026903868
434,-2,-1,-2,0.026903868
450,-2,-1,-2,0.026903868
465,-2,-1,-1,0.026903868
478,-2,0,-2,0.036900043
490,-2,-2,-2,0.036900043
500,-2,-1,-2,0.036900043
508,-2,-1,-1,0.036900043
513,-3,-1,-2,0.036900043
515,-2,-1,-2,0.036900043
514,-2,-2,-2,0.036900043
509,-2,-1,-2,0.036900043
505,-2,-1,-2,0.046886683
497,-2,-1,-1,0.046886683
487,-3,-1,-1,0.046886683
475,-2,-2,-2,0.046886683
453,-2,-1,-2,0.046886683
417,-2,-2,-2,0.046886683
369,-2,-1,-1,0.046886683
318,-2,-1,-2,0.056901455
270,-1,-1,-1,0.056901455
207,-2,-1,-2,0.056901455
117,-1,-1,-1,0.056901455
24,-2,-2,-2,0.056901455
6,-2,-2,-1,0.006219387
11,-2,-1,-2,0.006219387
25,-2,-2,-1,0.006219387
58,-2,-2,-2,0.006219387
101,-2,-2,-1,0.006219387
145,-2,-1,-2,0.006219387
185,-1,-1,-2,0.016164541
222,-1,-1,-2,0.016164541
252,-2,-1,-2,0.016164541
278,-2,-2,-1,0.016164541
299,-2,-2,-1,0.016164541
319,-2,-1,-1,0.016164541
337,-2,-2,-2,0.016164541
353,-1,-1,-1,0.016164541
370,-2,-2,-2,0.016164541
386,-2,-1,-2,0.026135445
400,-2,-1,-2,0.026135445
412,-2,-2,-2,0.026135445
423,-3,-2,-2,0.026135445
432,-2,-1,-2,0.026135445
439,-2,-1,-2,0.026135445
444,-2,0,-2,0.026135445
446,-2,0,-2,0.036134481
445,-1,-1,-2,0.036134481
442,-1,-1,-1,0.036134481
434,-2,-1,-1,0.036134481
423,-1,0,-2,0.036134481
403,-2,-1,-1,0.036134481
372,-1,-1,-1,0.036134481
320,-1,-1,-1,0.036134481
248,-2,-1,-1,0.036134481
157,-2,-1,-2,0.04613471
62,-2,0,-1,0.04613471
6,-2,-2,-2,0.00634861
15,-2,-1,-1,0.00634861
41,-2,-1,-2,0.00634861
79,-1,-2,-2,0.00634861
121,-2,-2,-1,0.00634861
160,-2,-1,-2,0.00634861
196,-1,-1,-1,0.00634861
230,-2,-1,-2,0.016349316
261,-2,-1,-2,0.016349316
288,-2,-2,-2,0.016349316
312,-2,-2,-3,0.016349316
331,-2,-1,-1,0.016349316
350,-2,-2,-2,0.016349316
366,-2,-2,-1,0.016349316
381,-2,-1,-2,0.016349316
395,-2,-2,-2,0.026350737
408,-2,-1,-2,0.026350737
419,-2,-2,-2,0.026350737
428,-2,-1,-1,0.026350737
434,-2,-1,-2,0.026350737
438,-1,-1,-2,0.026350737
440,-2,-1,-1,0.026350737
441,-2,-1,-3,0.026350737
442,-3,-1,-1,0.036375284
440,-2,-2,-2,0.036375284
432,-2,-1,-2,0.036375284
418,-2,-1,-2,0.036375284
393,-2,-2,-2,0.036375284
352,-2,-1,-2,0.036375284
293,-3,-1,-2,0.036375284
242,-1,-1,-2,0.046350718
182,-3,-1,-2,0.046350718
111,-2,-2,-2,0.046350718
30,-2,-1,-2,0.046350718
6,-2,-2,-1,0.004012346
12,-2,-2,-2,0.004012346
24,-2,-2,-2,0.004012346
38,-2,-2,-2,0.013775587
53,-1,-2,-2,0.013775587
70,-2,-2,-1,0.013775587
89,-2,-2,-2,0.013775587
110,-2,-3,-2,0.013775587
135,-2,-2,-1,0.023775578
163,-2,-2,-1,0.023775578
191,-2,-2,-1,0.023775578
217,-1,-2,-1,0.023775578
238,-1,-2,-1,0.023775578
258,-2,-2,-2,0.023775578
277,-2,-2,-1,0.023775578
292,-2,-2,-1,0.033775806
307,-2,-2,-2,0.033775806
322,-2,-2,-2,0.033775806
335,-2,-2,-2,0.033775806
347,-2,-2,-2,0.033775806
356,-3,-2,-1,0.033775806
363,-2,-2,-2,0.033775806
369,-2,-2,-2,0.043774366
371,-2,-2,-1,0.043774366
374,-2,-2,-2,0.043774366
375,-2,-2,-1,0.043774366
375,-2,-2,-1,0.043774366
374,-1,-1,-2,0.043774366
369,-2,-2,-1,0.043774366
361,-2,-2,-1,0.043774366
351,-1,-1,0,0.053773642
336,-1,-2,-2,0.053773642
313,-1,-2,-1,0.053773642
285,-2,-2,-2,0.053773642
257,-2,-2,-2,0.053773642
218,-1,-2,-1,0.053773642
174,-2,-2,-2,0.053773642
127,-2,-1,-2,0.053773642
67,-2,-2,-1,0.06377387
15,-2,-1,-1,0.06377387
6,-2,-2,-2,0.016699314
17,-3,-2,-2,0.016699314
38,-2,-2,-1,0.016699314
64,-2,-2,-2,0.026507139
89,-1,-1,-2,0.026507139
112,-2,-2,-2,0.026507139
135,-2,-2,-2,0.026507139
165,-2,-2,-2,0.026507139
204,-1,-1,-2,0.036480665
242,0,-1,-1,0.036480665
275,-2,-2,-2,0.036480665
302,-1,-1,-2,0.036480665
322,-1,-2,-2,0.036480665
338,-3,-1,-2,0.036480665
350,-2,-2,-2,0.046480179
359,-1,-2,-1,0.046480179
368,-1,-2,-2,0.046480179
374,-2,-1,-2,0.046480179
379,-2,-2,-1,0.056480408
384,-2,-2,-1,0.056480408
386,-2,-2,-1,0.056480408
385,-1,-2,-1,0.056480408
381,-2,-1,-1,0.056480408
371,-2,-1,-2,0.056480408
358,-2,-2,-1,0.056480408
335,-2,0,-1,0.056480408
297,-2,-1,-2,0.066503525
241,-2,0,-1,0.066503525
170,-2,-2,-2,0.066503525
41,-2,-2,-1,0.066503525
9,-2,-1,-1,0.066503525
6,-2,-1,-2,0.006445646
14,-1,-1,-1,0.006445646
32,-2,-1,-1,0.006445646
52,-1,-1,-2,0.006445646
76,-2,-1,-1,0.016478062
101,-2,-1,-2,0.016478062
130,-2,-1,-1,0.016478062
164,-2,-1,-2,0.016478062
199,-2,-1,-2,0.016478062
232,-2,-1,-2,0.016478062
262,-2,-1,-2,0.026446104
287,-2,0,-2,0.026446104
308,-1,-1,-1,0.026446104
328,-1,-1,-2,0.026446104
345,-2,-1,-2,0.036444664
361,-2,-1,-1,0.036444664
375,-2,-1,-2,0.036444664
391,-2,-1,-1,0.036444664
405,-2,-1,-2,0.036444664
412,-2,-1,-2,0.036444664
414,-2,-1,-2,0.046448708
413,-2,-1,-2,0.046448708
413,-2,-1,-1,0.046448708
414,-2,-1,-2,0.046448708
411,-2,-1,-2,0.046448708
404,-2,-1,-2,0.056446552
396,-2,-1,-2,0.056446552
387,-1,-1,-2,0.056446552
374,-1,0,-2,0.056446552
353,-2,-1,-2,0.056446552
323,-2,-1,-2,0.056446552
279,-2,-1,-2,0.056446552
219,-2,-1,-1,0.056446552
143,-3,-2,-1,0.056446552
58,-2,-2,-2,0.068491459
6,-2,-1,-1,0.006254911
11,-1,-1,-1,0.006254911
