Sensor 0,Sensor 1,Sensor 2,Sensor 3,Time
6,-2,-2,-2,0.002027988
9,-2,-2,-2,0.002920151
13,-2,-2,-2,0.003388166
18,-2,-2,-1,0.003854036
25,-2,-2,-2,0.004339933
31,-2,-2,-2,0.004840136
38,-2,-2,-2,0.005227089
46,-2,-2,-2,0.005584002
56,-2,-2,-1,0.005940914
67,-2,-2,-1,0.006304026
78,-2,-2,-2,0.006666899
90,-2,-2,-2,0.00702405
101,-2,-2,-1,0.00739193
111,-2,-2,-2,0.007760048
118,-2,-2,-2,0.008169889
126,-2,-2,-2,0.008530855
135,-2,-2,-2,0.008831024
144,-2,-2,-2,0.009129047
154,-2,-2,-2,0.009428978
162,-2,-2,-2,0.009727955
170,-2,-2,-2,0.010027885
178,-2,-2,-2,0.010324955
187,-2,-2,-2,0.010622025
197,-2,-2,-2,0.010921001
206,-2,-2,-2,0.011218071
216,-2,-2,-2,0.011517048
225,-2,-2,-2,0.011815071
234,-2,-2,-2,0.012171984
243,-2,-2,-2,0.012476206
252,-2,-2,-2,0.012776136
260,-2,-2,-2,0.013085127
268,-2,-2,-2,0.013372183
277,-2,-2,-2,0.013660192
285,-2,-2,-1,0.01394701
293,-3,-2,-1,0.01423502
302,-2,-2,-2,0.014525175
310,-2,-2,-2,0.014822006
318,-2,-2,-1,0.015111208
327,-2,-2,-1,0.015398026
335,-2,-2,-2,0.015691996
344,-2,-2,-2,0.015977859
353,-2,-2,-1,0.016265869
362,-1,-2,-2,0.016553879
370,-2,-2,-2,0.016840219
377,-2,-2,-2,0.017128229
383,-2,-2,-2,0.017415047
389,-2,-2,-2,0.017708063
395,-2,-2,-2,0.01800108
401,-2,-2,-2,0.018290043
406,-2,-2,-1,0.018578053
410,-2,-2,-2,0.018866062
414,-2,-2,-1,0.019153118
416,-2,-2,-2,0.020551205
416,-2,-2,-2,0.02872324
418,-2,-2,-1,0.036774158
420,-2,-2,-2,0.041198969
423,-2,-2,-1,0.049345016
427,-2,-2,-1,0.057277203
430,-2,-2,-2,0.065426111
433,-2,-2,-2,0.069762945
435,-2,-2,-2,0.078097105
