Sensor 0,Sensor 1,Sensor 2,Sensor 3,Time
6,-2,-2,-2,0.010089397
14,-2,-1,-1,0.011055231
27,-1,-1,-2,0.014044285
46,-1,-1,-2,0.015041828
70,0,-2,-1,0.019062519
95,0,-1,-1,0.020031214
119,-2,-1,-1,0.022022724
143,0,-1,-2,0.024017572
164,-1,-1,-1,0.026043415
182,-1,0,-1,0.029761314
199,-1,0,-1,0.031762362
214,-1,0,-2,0.033785105
227,0,0,-1,0.034781218
238,-2,-1,-1,0.038757801
248,-1,0,-2,0.039744139
256,-1,0,-1,0.040736437
261,-1,-1,-1,0.043731928
264,0,0,-1,0.047733784
265,-2,-1,-1,0.048746347
264,-2,-1,-1,0.049740791
260,-1,-1,-2,0.050710678
252,-1,0,-1,0.051707983
242,-2,-1,-2,0.054581881
229,-1,0,-1,0.05764246
208,-1,-1,-1,0.05857563
182,-1,0,-1,0.059571505
149,-1,-1,-1,0.061372757
102,-1,0,-2,0.061372757
54,-1,-1,-1,0.062375307
16,-1,-1,-2,0.064369917
6,-2,-1,-2,0.00780201
15,-1,-1,-1,0.008798599
34,-1,0,-1,0.009802103
58,-1,1,-2,0.009802103
80,-1,1,-1,0.010792971
100,-2,1,-1,0.012820721
118,-1,0,-1,0.016778469
134,-1,0,-1,0.017774582
149,-1,1,-2,0.018771648
161,-1,1,-2,0.018771648
173,-1,1,-1,0.01976943
183,-1,1,-2,0.020766497
192,-1,0,-1,0.022761345
199,-1,0,-1,0.025753498
205,-1,2,-1,0.026750803
209,-1,1,-1,0.027748585
211,-1,1,-2,0.029747486
213,0,1,-2,0.029747486
212,-1,1,-2,0.031769037
209,-1,0,-1,0.035743952
202,-1,1,-2,0.035743952
195,-1,1,-1,0.036724091
182,-1,0,-2,0.037721157
165,-1,1,-1,0.0387187
141,-1,1,-1,0.039717436
111,-1,1,-1,0.039717436
78,-2,0,-1,0.041740894
47,-1,0,-1,0.045701265
18,-1,1,-1,0.04703784
6,-1,2,-1,0.004506588
19,-2,3,-2,0.006504536
44,-1,3,-1,0.008532524
70,-1,3,-1,0.009494066
94,-2,3,-1,0.012516022
115,-1,5,-1,0.016031504
134,-2,3,-2,0.018032074
151,-2,3,-1,0.019058704
164,-1,4,-2,0.02006197
176,-1,4,-1,0.023017168
186,-1,4,-2,0.026908636
194,-1,4,-1,0.02893424
201,-1,5,-1,0.029970884
206,-1,3,-1,0.030963182
209,-1,4,-1,0.033957958
209,-2,3,-1,0.034922838
207,-1,3,-2,0.03915143
201,-1,4,-2,0.040180683
191,-1,3,-2,0.042188168
177,-1,4,-1,0.044178247
157,-2,3,-1,0.045170546
131,-2,3,-1,0.048640728
102,-1,4,-1,0.049642324
58,-1,4,-1,0.050648928
17,-1,3,-1,0.051635981
6,-1,0,-1,0.007096291
13,-1,1,-1,0.008922577
26,-1,0,-1,0.011944532
41,-1,0,-2,0.015935421
61,0,0,0,0.017896652
84,-1,1,-1,0.018895864
104,-1,1,-1,0.019890785
124,-1,1,-1,0.02288413
142,0,2,-2,0.023919106
156,-1,1,-1,0.026892662
168,-1,1,-1,0.028960943
178,-1,1,-1,0.029963732
188,0,1,-1,0.031957388
195,-1,1,0,0.032981634
202,-1,1,-1,0.036924124
206,-1,1,-1,0.036924124
208,-1,2,-1,0.038735628
209,-1,1,-1,0.038735628
208,0,1,-1,0.039736271
203,-1,1,-1,0.041731119
196,-1,2,-1,0.045123339
181,-1,2,-1,0.046057701
162,-2,1,-1,0.047054768
132,-2,1,-1,0.048051596
95,-1,1,-1,0.049050093
62,-1,2,-1,0.049050093
38,-1,1,-1,0.051074743
23,0,1,-1,0.054853201
8,-1,2,-1,0.055615425
6,-2,1,-1,0.007708549
15,-1,0,-2,0.009702444
30,-2,0,-1,0.011697531
50,-1,0,-2,0.013692617
71,-1,0,-2,0.01675725
95,-1,0,-1,0.018791914
117,-2,1,-1,0.019757032
136,-1,0,-2,0.022747517
155,-2,0,-2,0.023766994
171,-2,0,-1,0.026773691
185,-1,0,-2,0.028732538
197,-1,0,-1,0.030729532
206,-1,-1,-1,0.03272295
215,-1,0,-2,0.036760569
220,-1,0,-1,0.037738085
224,-2,-1,-1,0.038737059
226,-1,0,-1,0.039735079
223,-2,1,-1,0.040733814
215,-1,0,-1,0.042723179
202,-2,0,-2,0.045791149
187,-1,0,-1,0.0467906
167,-1,1,-1,0.047787666
138,-2,1,-2,0.049364567
108,-2,0,-2,0.049364567
72,-1,0,-2,0.050365448
39,-2,-1,-1,0.052388191
18,-2,0,-1,0.055776119
6,-1,-1,-1,0.007004499
18,-1,0,-2,0.007783413
34,-2,0,-1,0.008784533
53,-1,0,-2,0.009781837
71,-1,0,-1,0.010780811
87,-2,1,-2,0.011820078
101,-1,0,-1,0.016942501
114,-1,0,-1,0.017832041
123,-1,0,-1,0.019466877
132,-1,1,-1,0.019466877
138,-1,1,-1,0.020467281
141,-1,1,-1,0.02246356
142,-1,1,-1,0.023459435
141,-1,1,-1,0.026590109
135,0,0,-1,0.027526379
127,-2,0,-1,0.029251337
115,-1,1,-1,0.030252934
101,-1,0,-1,0.030252934
86,-1,1,-2,0.032277584
68,-1,0,-1,0.036636353
46,-1,0,-1,0.037638426
25,-1,0,-2,0.037638426
10,-2,0,-2,0.0393641
6,-1,1,-1,0.00664115
13,-1,1,-1,0.008644342
30,-1,1,-1,0.01163435
54,-1,1,0,0.016424656
80,-2,1,0,0.017455339
105,-1,0,-1,0.018449545
128,0,1,0,0.021446228
149,0,0,-1,0.022444487
166,-1,0,-1,0.0254004
181,-1,0,0,0.027424812
194,-1,1,-1,0.02839303
205,-1,2,0,0.031727552
214,-1,0,-1,0.033015251
222,0,1,0,0.036041737
228,0,0,-2,0.037011623
232,0,1,0,0.038006783
235,-1,1,-1,0.039004087
235,-1,0,-1,0.042030334
234,-1,1,-1,0.044945478
230,-1,1,-1,0.046956301
221,-1,0,-1,0.048124552
204,-1,0,-1,0.049126148
181,-2,0,-1,0.050122738
149,-1,0,-1,0.051121712
114,-1,0,-1,0.054983616
87,-1,0,-1,0.055985451
52,-1,0,-1,0.056981564
25,-1,0,-1,0.056981564
7,1,0,-1,0.057979584
6,-1,0,-1,0.007187128
17,-1,1,0,0.009158134
38,0,0,-1,0.011152267
64,-1,1,-1,0.01317668
92,-1,0,-1,0.014142036
117,0,0,-1,0.017715693
140,-1,1,-1,0.019718409
160,-1,0,-1,0.020712614
178,-1,0,-1,0.022708416
193,-1,0,0,0.024702072
207,-1,1,-1,0.029200077
219,-1,1,-1,0.030194759
228,0,1,-1,0.031223774
237,-1,1,-1,0.034183741
243,-1,0,-1,0.035210371
248,-1,1,-1,0.038452864
251,0,1,-1,0.040452957
251,0,1,-1,0.041451216
249,-1,1,-1,0.044478655
244,0,0,0,0.045439482
236,-1,1,-1,0.048704863
223,-1,0,-1,0.050235748
204,-1,0,-1,0.051223278
175,-1,1,-1,0.052221775
140,-1,1,-1,0.054243326
101,-1,0,-1,0.057753086
65,-1,0,-1,0.058755159
25,-1,0,-1,0.059750795
6,-2,0,-1,0.009682417
15,-1,0,-1,0.010682106
35,0,0,-1,0.012674093
60,0,0,-1,0.014701366
87,-1,0,0,0.015666485
112,-1,1,-1,0.019047499
136,-1,0,-1,0.021078587
156,0,-1,-1,0.022080183
174,-1,0,0,0.025071859
191,-1,0,-1,0.026068211
207,0,0,0,0.030134439
220,-1,1,-1,0.031139374
233,0,0,-1,0.032163382
243,-1,0,-1,0.035156488
252,0,0,-1,0.036135197
259,-1,0,-1,0.040112495
264,0,0,-1,0.041111708
268,-1,0,-1,0.042107821
270,0,0,-1,0.043103933
270,0,0,-1,0.045130014
267,0,0,-1,0.048426628
261,0,0,-1,0.04921484
253,0,0,0,0.050216198
238,-1,1,-1,0.050216198
218,-1,0,-1,0.051212549
191,-1,0,0,0.052209616
153,0,0,0,0.053208113
105,0,0,-1,0.05520916
59,-1,0,0,0.059965849
24,-1,0,-1,0.059965849
7,0,-1,-1,0.007341862
15,-1,-1,0,0.007341862
32,-1,0,-1,0.008341312
56,-1,-1,-1,0.009338856
83,-1,-1,0,0.010337353
110,-1,-1,-1,0.010337353
135,0,0,-1,0.012332201
158,-1,-1,-1,0.016280413
179,-1,-1,-1,0.017278194
197,-1,-1,-1,0.018275023
213,-1,-1,0,0.018275023
227,0,-1,-1,0.019271135
240,0,0,-1,0.020268679
250,-1,-1,-1,0.02226305
258,-1,-1,0,0.024953365
264,-1,-1,0,0.025953293
268,-1,0,-1,0.026950359
268,-1,-2,0,0.027949095
264,0,-1,-1,0.028945684
257,0,-1,0,0.029943943
249,-1,-1,-1,0.031937122
237,-1,0,-1,0.035927057
219,-2,-1,0,0.036925316
193,-1,-2,-1,0.037951231
157,-1,-2,-1,0.038929701
119,-1,0,-2,0.038929701
90,-1,-1,-1,0.0399158
55,-1,-1,-1,0.041940451
33,0,-2,-1,0.044970512
-2,6,-2,0,0.008098841
-2,17,-2,-1,0.010099649
-2,39,-2,0,0.011097193
-2,65,-2,0,0.014117956
0,91,-1,0,0.018280983
-2,117,-2,-1,0.020201921
-1,139,-2,-1,0.022199154
-2,159,-1,-1,0.024222374
-1,175,-1,-1,0.025218725
-1,188,-1,-1,0.02921772
-2,200,-2,0,0.030177832
-1,210,-2,-1,0.032173395
-1,218,-2,-1,0.034911633
-2,224,-1,-1,0.036292791
-2,227,-1,-1,0.039526463
-1,229,-2,-1,0.040564299
-1,228,-1,-1,0.041525602
-1,223,-2,-1,0.044552803
-1,217,-2,-1,0.046737909
0,207,0,0,0.049793959
-2,195,-2,0,0.050731897
-2,178,-1,0,0.051728964
-2,153,-2,-1,0.052726269
-2,125,-2,-1,0.054722071
-1,90,-2,-1,0.058722973
-2,52,-2,0,0.058722973
-1,14,-1,-1,0.05970788
-2,7,-2,0,0.007635355
-1,14,-2,-1,0.010591269
-2,34,-2,0,0.012601614
-2,61,-2,-2,0.013581753
-2,90,-2,-1,0.016574621
-1,119,0,-1,0.017570734
-1,145,-2,-1,0.018568039
-2,168,-1,-1,0.019565344
-1,188,-2,-1,0.021569729
-1,206,-2,-1,0.024582386
-1,221,-2,-1,0.025549889
-2,234,-2,0,0.026546717
-1,244,-1,-1,0.027543783
-1,252,-2,-1,0.028542042
-1,259,-2,-1,0.030536413
-2,261,-1,-1,0.033527613
-1,262,-2,-1,0.03452611
-1,260,-1,-1,0.035522461
-1,255,-2,-1,0.036519289
-1,245,-2,0,0.036519289
-2,233,-2,0,0.037517786
-1,217,-2,-1,0.038514137
-1,194,-2,-1,0.038514137
-2,163,-2,0,0.040509939
-1,119,-1,-1,0.044499397
-2,62,-2,-1,0.045495987
-2,10,-2,-1,0.046493292
-2,6,-2,0,0.002742767
-2,16,-2,-1,0.006759405
-1,37,-2,0,0.007730722
0,63,-2,-1,0.00872612
-2,91,-2,-2,0.00872612
-1,119,-2,-1,0.00972414
-2,145,-2,-1,0.011719942
-2,168,-2,-1,0.016376734
-2,189,-1,-2,0.017233849
-2,208,-2,0,0.018299341
-2,224,-2,-1,0.018299341
-1,235,-1,-1,0.019299269
-2,244,-2,-1,0.021294117
-1,251,-2,0,0.024795532
-2,256,-2,0,0.024795532
-2,259,-2,-1,0.025795698
-1,261,-2,-1,0.026793003
-2,261,-1,-1,0.027790546
-2,257,-2,-1,0.028787374
-2,253,-2,-1,0.033980846
-2,248,-2,-1,0.035486937
-2,239,-2,-1,0.035486937
-1,225,-3,-1,0.036487579
-2,204,-2,0,0.037497997
-2,175,-2,-2,0.038482666
-2,139,-2,-1,0.038482666
-1,91,-2,-2,0.039479017
-1,41,-2,-1,0.040476322
-1,8,-2,0,0.041475058
-1,6,-2,-1,0.007751703
-2,13,-2,0,0.007751703
-2,27,-2,-1,0.008751869
-1,48,-1,-1,0.009748936
-1,70,-2,-1,0.010747433
-2,91,-1,-1,0.011744499
-2,110,-2,-1,0.015733004
-2,126,-2,-1,0.016774178
-1,139,-2,-1,0.017594576
-2,150,-2,-1,0.018280745
-2,160,-2,-2,0.019087315
-1,167,-2,-1,0.019087315
-1,171,-3,0,0.020087719
-2,174,-3,-1,0.022112846
-1,177,-2,-1,0.025668383
-1,175,-2,-1,0.026599884
-1,172,-2,-1,0.027628899
-1,165,-2,-1,0.027628899
-1,156,-2,-1,0.028594971
-2,141,-1,-1,0.029593229
-2,124,-2,-1,0.031586647
-1,102,-3,-1,0.0348804
-2,74,-2,0,0.03590703
-1,41,-2,-1,0.036888838
-2,14,-2,-1,0.037899971
-1,6,-2,-1,0.037899971
-2,6,-3,0,0.006470442
-1,17,-2,-1,0.008443832
-2,39,-2,-1,0.009411335
-2,61,-2,0,0.010408401
0,82,-3,0,0.013400078
-2,101,-2,-1,0.014399052
-1,121,-2,-1,0.018388987
0,138,-2,-1,0.019386292
-2,153,-2,-1,0.02240777
-2,167,-2,-1,0.023373842
-1,179,-2,-1,0.026417017
-2,189,-2,-1,0.028360128
-1,199,-2,-1,0.03036046
-1,206,0,0,0.032351971
-2,212,-1,0,0.03554368
-2,217,-2,-1,0.0371387
-1,220,-1,0,0.038014174
-1,220,-2,0,0.038014174
-2,220,-3,0,0.039014339
-1,217,-2,0,0.040012836
-2,210,-3,0,0.042038918
-1,200,-2,-1,0.044999123
-1,189,-2,0,0.045995235
-1,172,-3,-1,0.046993732
-1,151,-2,-1,0.048019171
-1,122,-3,0,0.049056053
-1,88,-2,-1,0.049056053
-1,47,-2,-1,0.050057411
-1,9,-2,-1,0.052296877
-2,6,-2,-1,0.008747339
-2,15,-2,-1,0.00975275
-2,34,-2,-1,0.012773275
-2,57,-2,-1,0.014738321
-2,83,-3,-2,0.017729998
-2,107,-2,-1,0.018725634
-1,129,-3,0,0.020750761
-1,149,-2,0,0.022744894
-2,167,-1,0,0.02471137
-2,182,-3,0,0.027701616
-2,194,-3,-1,0.029449463
-1,204,-3,0,0.030480862
-2,212,-3,-1,0.033118963
-1,219,-3,-1,0.034123182
-2,223,-2,-1,0.036861897
-1,223,-2,-1,0.03886199
-1,224,-3,0,0.039857626
-1,220,-2,0,0.04288125
-1,215,-2,0,0.043846846
-1,206,-2,-1,0.047837019
-1,194,-2,-1,0.048864365
-1,178,-2,-1,0.049989223
0,156,-2,-1,0.049989223
-1,128,-2,0,0.050989389
-1,93,-3,-1,0.053016663
-2,48,-3,-1,0.056041002
-2,13,-3,0,0.057977676
-1,6,-2,0,0.008447409
-1,19,-2,0,0.009450197
-1,41,-3,-1,0.011443138
-2,68,-2,-1,0.014438152
-2,94,-3,-1,0.015434742
-2,116,-2,-1,0.019102335
-1,136,-2,-1,0.020109653
-1,153,-2,-1,0.02210021
-2,170,-2,-1,0.024094582
-2,184,-3,-1,0.026119471
-2,196,-2,0,0.029081345
-1,206,-3,0,0.030765295
-2,215,-2,0,0.031769753
-2,223,-2,0,0.033795357
-1,228,-2,-1,0.035789251
-2,233,-2,1,0.038186789
-1,235,-1,0,0.03921771
-2,236,-2,0,0.040213585
-1,235,-2,0,0.042181015
-2,232,-2,0,0.044197083
-1,227,-2,-1,0.048573494
-1,216,-3,-1,0.049575567
-1,203,-3,0,0.050609827
-1,184,-2,0,0.051600695
-1,160,-2,0,0.052565813
-2,126,-2,0,0.053571939
-2,84,-1,0,0.057653189
-2,37,-3,0,0.058653831
-2,6,-2,-1,0.05965066
-2,6,-2,-1,0.006976604
-1,15,-3,1,0.008970261
-1,31,-1,-1,0.009967804
-2,52,-2,-1,0.013257265
-2,73,-3,-1,0.014262438
-2,93,-2,0,0.017279387
-1,112,-1,-1,0.019246101
-1,129,-2,0,0.020244598
-1,143,-2,-1,0.023235321
-2,156,-2,0,0.024235249
-2,166,-2,0,0.027224779
-1,175,-2,-1,0.029249907
-2,181,-2,-1,0.030219078
-1,187,-2,-1,0.03224349
-1,189,-2,-1,0.034067154
-1,189,-3,0,0.036521196
-1,187,-2,0,0.037521362
-1,182,-2,-1,0.038520098
-2,176,-2,-1,0.039547443
-1,167,-2,-1,0.040514708
-2,153,-2,-1,0.042538404
-2,134,-2,-1,0.046599388
